window_a,window_b,jaccard_path,jaccard_feature_order,jaccard_feature_set
1994-01,1995-01,0.5384615384615384,0.5384615384615384,1.0
1994-01,1996-01,0.5384615384615384,0.5384615384615384,1.0
1994-01,1997-01,0.3333333333333333,0.42857142857142855,1.0
1994-01,1998-01,0.3333333333333333,0.42857142857142855,1.0
1994-01,1999-01,0.25,0.3333333333333333,0.8
1994-01,2000-01,0.17647058823529413,0.25,1.0
1994-01,2001-01,0.1111111111111111,0.17647058823529413,0.8
1994-01,2002-01,0.1111111111111111,0.17647058823529413,0.8
1994-01,2003-01,0.17647058823529413,0.25,0.8
1994-01,2004-01,0.05263157894736842,0.05263157894736842,0.6666666666666666
1994-01,2005-01,0.0,0.0,0.6666666666666666
1994-01,2006-01,0.05263157894736842,0.05263157894736842,0.5
1994-01,2007-01,0.05263157894736842,0.05263157894736842,0.8
1994-01,2008-01,0.05263157894736842,0.05263157894736842,0.6
1994-01,2009-01,0.1111111111111111,0.1111111111111111,0.6
1994-01,2010-01,0.05263157894736842,0.05263157894736842,0.5
1994-01,2011-01,0.05263157894736842,0.05263157894736842,0.5
1994-01,2012-01,0.1111111111111111,0.1111111111111111,0.5
1994-01,2013-01,0.1111111111111111,0.1111111111111111,0.5
1994-01,2014-01,0.1111111111111111,0.1111111111111111,0.42857142857142855
1995-01,1996-01,0.6666666666666666,0.6666666666666666,1.0
1995-01,1997-01,0.42857142857142855,0.42857142857142855,1.0
1995-01,1998-01,0.42857142857142855,0.42857142857142855,1.0
1995-01,1999-01,0.25,0.25,0.8
1995-01,2000-01,0.17647058823529413,0.17647058823529413,1.0
1995-01,2001-01,0.17647058823529413,0.17647058823529413,0.8
1995-01,2002-01,0.17647058823529413,0.17647058823529413,0.8
1995-01,2003-01,0.25,0.25,0.8
1995-01,2004-01,0.1111111111111111,0.1111111111111111,0.6666666666666666
1995-01,2005-01,0.0,0.0,0.6666666666666666
1995-01,2006-01,0.1111111111111111,0.1111111111111111,0.5
1995-01,2007-01,0.1111111111111111,0.1111111111111111,0.8
1995-01,2008-01,0.1111111111111111,0.1111111111111111,0.6
1995-01,2009-01,0.25,0.25,0.6
1995-01,2010-01,0.17647058823529413,0.17647058823529413,0.5
1995-01,2011-01,0.1111111111111111,0.1111111111111111,0.5
1995-01,2012-01,0.17647058823529413,0.17647058823529413,0.5
1995-01,2013-01,0.17647058823529413,0.17647058823529413,0.5
1995-01,2014-01,0.25,0.25,0.42857142857142855
1996-01,1997-01,0.6666666666666666,0.6666666666666666,1.0
1996-01,1998-01,0.6666666666666666,0.6666666666666666,1.0
1996-01,1999-01,0.42857142857142855,0.42857142857142855,0.8
1996-01,2000-01,0.3333333333333333,0.3333333333333333,1.0
1996-01,2001-01,0.25,0.25,0.8
1996-01,2002-01,0.25,0.25,0.8
1996-01,2003-01,0.3333333333333333,0.3333333333333333,0.8
1996-01,2004-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
1996-01,2005-01,0.05263157894736842,0.05263157894736842,0.6666666666666666
1996-01,2006-01,0.17647058823529413,0.17647058823529413,0.5
1996-01,2007-01,0.17647058823529413,0.17647058823529413,0.8
1996-01,2008-01,0.17647058823529413,0.17647058823529413,0.6
1996-01,2009-01,0.25,0.25,0.6
1996-01,2010-01,0.17647058823529413,0.17647058823529413,0.5
1996-01,2011-01,0.1111111111111111,0.1111111111111111,0.5
1996-01,2012-01,0.17647058823529413,0.17647058823529413,0.5
1996-01,2013-01,0.17647058823529413,0.17647058823529413,0.5
1996-01,2014-01,0.3333333333333333,0.3333333333333333,0.42857142857142855
1997-01,1998-01,0.6666666666666666,0.6666666666666666,1.0
1997-01,1999-01,0.42857142857142855,0.42857142857142855,0.8
1997-01,2000-01,0.5384615384615384,0.5384615384615384,1.0
1997-01,2001-01,0.42857142857142855,0.42857142857142855,0.8
1997-01,2002-01,0.3333333333333333,0.3333333333333333,0.8
1997-01,2003-01,0.3333333333333333,0.3333333333333333,0.8
1997-01,2004-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
1997-01,2005-01,0.05263157894736842,0.05263157894736842,0.6666666666666666
1997-01,2006-01,0.17647058823529413,0.17647058823529413,0.5
1997-01,2007-01,0.17647058823529413,0.17647058823529413,0.8
1997-01,2008-01,0.17647058823529413,0.17647058823529413,0.6
1997-01,2009-01,0.17647058823529413,0.17647058823529413,0.6
1997-01,2010-01,0.1111111111111111,0.1111111111111111,0.5
1997-01,2011-01,0.05263157894736842,0.05263157894736842,0.5
1997-01,2012-01,0.1111111111111111,0.1111111111111111,0.5
1997-01,2013-01,0.1111111111111111,0.1111111111111111,0.5
1997-01,2014-01,0.25,0.25,0.42857142857142855
1998-01,1999-01,0.6666666666666666,0.6666666666666666,0.8
1998-01,2000-01,0.5384615384615384,0.5384615384615384,1.0
1998-01,2001-01,0.42857142857142855,0.42857142857142855,0.8
1998-01,2002-01,0.3333333333333333,0.3333333333333333,0.8
1998-01,2003-01,0.3333333333333333,0.3333333333333333,0.8
1998-01,2004-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
1998-01,2005-01,0.1111111111111111,0.1111111111111111,0.6666666666666666
1998-01,2006-01,0.25,0.25,0.5
1998-01,2007-01,0.25,0.25,0.8
1998-01,2008-01,0.25,0.25,0.6
1998-01,2009-01,0.25,0.25,0.6
1998-01,2010-01,0.17647058823529413,0.17647058823529413,0.5
1998-01,2011-01,0.1111111111111111,0.1111111111111111,0.5
1998-01,2012-01,0.1111111111111111,0.1111111111111111,0.5
1998-01,2013-01,0.1111111111111111,0.1111111111111111,0.5
1998-01,2014-01,0.25,0.25,0.42857142857142855
1999-01,2000-01,0.6666666666666666,0.6666666666666666,0.8
1999-01,2001-01,0.6666666666666666,0.6666666666666666,1.0
1999-01,2002-01,0.5384615384615384,0.5384615384615384,1.0
1999-01,2003-01,0.5384615384615384,0.5384615384615384,1.0
1999-01,2004-01,0.25,0.25,0.8333333333333334
1999-01,2005-01,0.25,0.25,0.8333333333333334
1999-01,2006-01,0.25,0.25,0.6666666666666666
1999-01,2007-01,0.25,0.25,1.0
1999-01,2008-01,0.25,0.25,0.8
1999-01,2009-01,0.25,0.25,0.8
1999-01,2010-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
1999-01,2011-01,0.05263157894736842,0.05263157894736842,0.6666666666666666
1999-01,2012-01,0.1111111111111111,0.1111111111111111,0.6666666666666666
1999-01,2013-01,0.05263157894736842,0.05263157894736842,0.6666666666666666
1999-01,2014-01,0.17647058823529413,0.17647058823529413,0.5714285714285714
2000-01,2001-01,0.8181818181818182,0.8181818181818182,0.8
2000-01,2002-01,0.5384615384615384,0.5384615384615384,0.8
2000-01,2003-01,0.42857142857142855,0.42857142857142855,0.8
2000-01,2004-01,0.25,0.25,0.6666666666666666
2000-01,2005-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
2000-01,2006-01,0.17647058823529413,0.17647058823529413,0.5
2000-01,2007-01,0.17647058823529413,0.17647058823529413,0.8
2000-01,2008-01,0.17647058823529413,0.17647058823529413,0.6
2000-01,2009-01,0.17647058823529413,0.17647058823529413,0.6
2000-01,2010-01,0.1111111111111111,0.1111111111111111,0.5
2000-01,2011-01,0.1111111111111111,0.1111111111111111,0.5
2000-01,2012-01,0.1111111111111111,0.1111111111111111,0.5
2000-01,2013-01,0.1111111111111111,0.1111111111111111,0.5
2000-01,2014-01,0.25,0.25,0.42857142857142855
2001-01,2002-01,0.6666666666666666,0.6666666666666666,1.0
2001-01,2003-01,0.5384615384615384,0.5384615384615384,1.0
2001-01,2004-01,0.3333333333333333,0.3333333333333333,0.8333333333333334
2001-01,2005-01,0.25,0.25,0.8333333333333334
2001-01,2006-01,0.25,0.25,0.6666666666666666
2001-01,2007-01,0.25,0.25,1.0
2001-01,2008-01,0.25,0.25,0.8
2001-01,2009-01,0.25,0.25,0.8
2001-01,2010-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
2001-01,2011-01,0.1111111111111111,0.1111111111111111,0.6666666666666666
2001-01,2012-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
2001-01,2013-01,0.1111111111111111,0.1111111111111111,0.6666666666666666
2001-01,2014-01,0.25,0.25,0.5714285714285714
2002-01,2003-01,0.5384615384615384,0.5384615384615384,1.0
2002-01,2004-01,0.42857142857142855,0.42857142857142855,0.8333333333333334
2002-01,2005-01,0.17647058823529413,0.17647058823529413,0.8333333333333334
2002-01,2006-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
2002-01,2007-01,0.17647058823529413,0.17647058823529413,1.0
2002-01,2008-01,0.17647058823529413,0.17647058823529413,0.8
2002-01,2009-01,0.17647058823529413,0.17647058823529413,0.8
2002-01,2010-01,0.1111111111111111,0.1111111111111111,0.6666666666666666
2002-01,2011-01,0.05263157894736842,0.05263157894736842,0.6666666666666666
2002-01,2012-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
2002-01,2013-01,0.1111111111111111,0.1111111111111111,0.6666666666666666
2002-01,2014-01,0.25,0.25,0.5714285714285714
2003-01,2004-01,0.3333333333333333,0.3333333333333333,0.8333333333333334
2003-01,2005-01,0.25,0.25,0.8333333333333334
2003-01,2006-01,0.25,0.25,0.6666666666666666
2003-01,2007-01,0.25,0.25,1.0
2003-01,2008-01,0.25,0.25,0.8
2003-01,2009-01,0.42857142857142855,0.42857142857142855,0.8
2003-01,2010-01,0.3333333333333333,0.3333333333333333,0.6666666666666666
2003-01,2011-01,0.17647058823529413,0.17647058823529413,0.6666666666666666
2003-01,2012-01,0.25,0.25,0.6666666666666666
2003-01,2013-01,0.25,0.25,0.6666666666666666
2003-01,2014-01,0.25,0.25,0.5714285714285714
2004-01,2005-01,0.42857142857142855,0.42857142857142855,1.0
2004-01,2006-01,0.42857142857142855,0.42857142857142855,0.8333333333333334
2004-01,2007-01,0.3333333333333333,0.3333333333333333,0.8333333333333334
2004-01,2008-01,0.42857142857142855,0.42857142857142855,0.6666666666666666
2004-01,2009-01,0.25,0.25,0.6666666666666666
2004-01,2010-01,0.17647058823529413,0.17647058823529413,0.5714285714285714
2004-01,2011-01,0.17647058823529413,0.17647058823529413,0.5714285714285714
2004-01,2012-01,0.25,0.25,0.5714285714285714
2004-01,2013-01,0.25,0.25,0.8333333333333334
2004-01,2014-01,0.25,0.25,0.7142857142857143
2005-01,2006-01,0.5384615384615384,0.5384615384615384,0.8333333333333334
2005-01,2007-01,0.42857142857142855,0.42857142857142855,0.8333333333333334
2005-01,2008-01,0.5384615384615384,0.5384615384615384,0.6666666666666666
2005-01,2009-01,0.25,0.25,0.6666666666666666
2005-01,2010-01,0.25,0.25,0.5714285714285714
2005-01,2011-01,0.17647058823529413,0.17647058823529413,0.5714285714285714
2005-01,2012-01,0.1111111111111111,0.1111111111111111,0.5714285714285714
2005-01,2013-01,0.1111111111111111,0.1111111111111111,0.8333333333333334
2005-01,2014-01,0.1111111111111111,0.1111111111111111,0.7142857142857143
2006-01,2007-01,0.8181818181818182,0.8181818181818182,0.6666666666666666
